,person,became_member_on,gender,age,income,total_amt,monthly_freq,txn_times,ave_btwn_time,recency,prop_wks_w_txn,ave_txn_amt,num_offers_received,offer_view_rate,offer_complete_rate
36,7584948ea6d04f94b8798624706261c2,2018-04-08,F,66,38000.0,56.08,5.0,"[210, 396, 426, 594, 702]",123.0,12.0,0.8,11.22,4.0,1.0,0.25
37,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,F,56,52000.0,87.11,7.0,"[66, 168, 204, 408, 528, 552, 654]",98.0,60.0,0.8,12.44,3.0,0.33,1.0
38,f247806381704ea58c1b06f60602a6ae,2014-07-23,F,39,56000.0,150.23000000000002,13.0,"[180, 240, 264, 270, 408, 432, 462, 486, 498, 534, 564, 660, 708]",44.0,6.0,0.8,11.56,5.0,0.6,0.6
39,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,M,42,96000.0,320.48,12.0,"[0, 42, 114, 156, 168, 204, 354, 390, 396, 402, 474, 540]",49.09,174.0,0.8,26.71,4.0,1.0,1.0
40,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,F,78,93000.0,225.54999999999998,8.0,"[126, 162, 222, 228, 240, 324, 492, 606]",68.57,108.0,0.8,28.19,5.0,1.0,1.0
41,186d6403f5824c739555b732f4af3f16,2017-10-06,M,45,48000.0,17.0,6.0,"[84, 300, 396, 552, 570, 594]",102.0,120.0,0.8,2.83,4.0,0.5,0.0
42,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,M,29,50000.0,38.17,12.0,"[18, 120, 162, 186, 336, 342, 354, 426, 444, 462, 498, 714]",63.27,0.0,0.8,3.18,4.0,0.5,0.25
43,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,M,44,35000.0,150.23,18.0,"[36, 90, 108, 120, 174, 228, 354, 456, 474, 480, 498, 504, 510, 576, 600, 630, 660, 672]",37.41,42.0,1.0,8.35,4.0,1.0,1.0
44,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,M,63,56000.0,121.62,9.0,"[24, 48, 180, 270, 336, 366, 396, 450, 648]",78.0,66.0,0.8,13.51,3.0,1.0,1.0
45,54890f68699049c2a04d415abc25e717,2017-12-28,M,36,56000.0,118.85000000000001,7.0,"[0, 78, 330, 390, 426, 534, 684]",114.0,30.0,1.0,16.98,3.0,0.67,0.67
46,ab66a363907e43e9a7cd535f1578245b,2018-03-14,F,76,47000.0,22.65,6.0,"[120, 246, 288, 444, 606, 654]",106.8,60.0,0.8,3.78,5.0,0.6,0.2
47,d3f146b615514c6380b168bb3df5f05b,2017-08-23,M,68,87000.0,177.18,8.0,"[96, 102, 132, 234, 246, 414, 642, 660]",80.57,54.0,0.8,22.15,5.0,1.0,1.0
48,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,M,75,52000.0,135.54,11.0,"[24, 156, 396, 420, 432, 444, 480, 510, 528, 546, 594]",57.0,120.0,0.6,12.32,3.0,1.0,0.67
49,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,M,67,76000.0,200.78,12.0,"[54, 102, 168, 186, 312, 360, 384, 426, 456, 540, 546, 690]",57.82,24.0,1.0,16.73,5.0,1.0,0.8
50,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,M,77,51000.0,23.81,11.0,"[54, 330, 366, 372, 390, 468, 522, 546, 564, 582, 684]",63.0,30.0,1.0,2.16,5.0,0.8,0.0
51,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,M,76,64000.0,110.92,8.0,"[90, 216, 264, 450, 456, 606, 624, 666]",82.29,48.0,0.8,13.86,3.0,0.67,0.33
52,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,M,57,98000.0,27.24,1.0,[492],222.0,222.0,0.2,27.24,3.0,0.0,0.67
53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,F,53,72000.0,167.88,9.0,"[36, 246, 252, 270, 420, 462, 594, 600, 660]",78.0,54.0,0.8,18.65,6.0,0.67,0.83
54,3a1242dda16248728e350c4bdeb21972,2016-12-31,F,53,117000.0,303.2,10.0,"[108, 306, 348, 384, 498, 510, 648, 654, 672, 678]",63.33,36.0,1.0,30.32,5.0,0.8,1.0
55,8045834137dc47faa24f2c4547969f33,2017-10-26,F,53,55000.0,20.18,8.0,"[18, 114, 186, 396, 582, 594, 612, 672]",93.43,42.0,1.0,2.52,5.0,0.6,0.2
56,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,F,61,112000.0,67.25,2.0,"[540, 690]",150.0,24.0,0.4,33.62,5.0,1.0,0.4
57,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,F,67,77000.0,155.73,8.0,"[66, 114, 162, 354, 516, 534, 606, 624]",79.71,90.0,0.6,19.47,3.0,1.0,0.33
58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,F,58,85000.0,290.42,15.0,"[18, 36, 60, 198, 240, 348, 408, 444, 456, 510, 564, 588, 642, 678, 684]",47.57,30.0,1.0,19.36,4.0,1.0,1.0
59,e528ceb341964128aaf58a59733ec2af,2018-06-29,F,46,36000.0,17.13,5.0,"[252, 384, 498, 660, 690]",109.5,24.0,0.8,3.43,5.0,0.6,0.0
60,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,M,30,41000.0,11.95,4.0,"[228, 462, 636, 702]",158.0,12.0,0.8,2.99,2.0,1.0,0.0
61,0b73997a269247088b2a63355f53ee58,2017-08-20,M,59,89000.0,45.400000000000006,2.0,"[48, 342]",294.0,372.0,0.4,22.7,6.0,0.5,0.33
62,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,M,51,41000.0,75.96,20.0,"[66, 78, 90, 96, 120, 150, 156, 168, 312, 336, 360, 396, 444, 504, 510, 528, 594, 642, 660, 684]",32.53,30.0,1.0,3.8,6.0,0.67,0.5
63,6e04a90a0e074496b5f229eb1f553433,2018-01-10,M,27,35000.0,29.56,12.0,"[24, 30, 174, 360, 366, 486, 540, 600, 636, 666, 672, 696]",61.09,18.0,1.0,2.46,5.0,0.8,0.2
64,262ad0fb526a4d53b572007da60cce24,2018-02-27,M,40,53000.0,8.17,5.0,"[156, 180, 402, 444, 582]",106.5,132.0,0.8,1.63,4.0,0.75,0.0
65,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,F,73,91000.0,109.16,4.0,"[234, 336, 420, 546]",104.0,168.0,0.6,27.29,5.0,0.8,0.6
66,2c5c63e5124e417b8504f76c868a4190,2015-12-24,F,74,107000.0,298.3,10.0,"[132, 258, 366, 444, 450, 486, 564, 612, 624, 654]",58.0,60.0,0.8,29.83,5.0,0.8,0.8
67,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,M,42,66000.0,136.94,7.0,"[138, 282, 396, 468, 486, 594, 672]",89.0,42.0,1.0,19.56,3.0,0.67,0.67
68,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,M,78,58000.0,126.94,10.0,"[90, 144, 348, 366, 372, 420, 438, 546, 588, 666]",64.0,48.0,0.6,12.69,6.0,1.0,0.5
69,816afd4505d047cf893275fbfe825590,2016-12-25,F,54,53000.0,57.03,18.0,"[12, 36, 48, 66, 72, 84, 144, 210, 216, 336, 450, 474, 492, 564, 636, 648, 660, 684]",39.53,30.0,1.0,3.17,6.0,0.83,0.33
70,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,F,70,74000.0,0.0,0.0,,715.0,715.0,0.0,0.0,3.0,1.0,0.0
71,68eee228713c429ebe1300155ad1fb33,2017-04-08,F,49,57000.0,184.78,10.0,"[108, 144, 168, 186, 282, 312, 390, 444, 534, 588]",53.33,126.0,0.8,18.48,5.0,1.0,0.6
72,ffc6c9fbe34b4578911dcdf6745b4c74,2018-04-10,F,62,57000.0,0.0,0.0,,715.0,715.0,0.0,0.0,3.0,0.67,0.0
73,cbebad9819494b479dbf0c1207b4c0c5,2017-03-05,M,64,70000.0,140.34,9.0,"[258, 300, 426, 498, 510, 516, 534, 660, 672]",51.75,42.0,0.8,15.59,4.0,1.0,1.0
74,4264b1d027cc493281bba4f44bfedaca,2017-11-14,F,89,87000.0,248.63,9.0,"[258, 318, 408, 420, 450, 504, 582, 606, 612]",44.25,102.0,0.6,27.63,4.0,0.75,1.0
75,0ba6e2ad781c4429afd26cf0b35f2d11,2018-04-01,M,73,51000.0,23.43,9.0,"[54, 108, 144, 228, 468, 480, 498, 648, 708]",81.75,6.0,1.0,2.6,5.0,0.8,0.2
76,b5abc1e85be84f43937b4fca0ad238cb,2017-05-06,F,50,93000.0,297.29,12.0,"[30, 54, 60, 72, 180, 204, 282, 342, 354, 360, 510, 528]",45.27,186.0,0.8,24.77,5.0,1.0,0.8
77,1c587de019994f93a242c6864fd7bc55,2015-12-10,F,90,98000.0,80.03,3.0,"[36, 264, 402]",183.0,312.0,0.6,26.68,4.0,0.0,0.25
78,3f4e408b0b2d4ea89dd16d7437d867c1,2016-07-31,F,68,84000.0,34.04,2.0,"[282, 576]",294.0,138.0,0.4,17.02,5.0,0.0,0.2
79,13bda8fbd70a4814b956df1d55320398,2017-02-06,M,60,64000.0,44.14,12.0,"[138, 222, 240, 318, 330, 342, 360, 456, 462, 522, 594, 630]",44.73,84.0,0.8,3.68,3.0,0.67,0.33
80,b19c8e7ac2ff40ae92b4fcf3247f8912,2017-08-15,M,45,54000.0,11.51,6.0,"[138, 210, 306, 462, 564, 666]",105.6,48.0,0.8,1.92,5.0,0.6,0.0
81,21c73d53e2a74bb1b4dc172bff2b1aad,2016-01-24,M,66,49000.0,200.93,18.0,"[60, 78, 138, 150, 252, 390, 420, 474, 528, 540, 546, 558, 570, 588, 600, 612, 624, 636]",33.88,78.0,0.8,11.16,6.0,0.83,0.83
82,1abeb816d9fa49b4b5b5ae51bc3d24c3,2016-10-15,F,19,73000.0,202.75,11.0,"[198, 210, 252, 294, 342, 360, 402, 426, 456, 480, 642]",44.4,72.0,0.6,18.43,5.0,0.6,0.6
83,92e07c49ee7448fca6e48df0c96e3eec,2018-02-16,F,66,58000.0,163.53,10.0,"[24, 30, 48, 66, 114, 168, 192, 396, 510, 588]",62.67,126.0,0.8,16.35,5.0,0.8,0.6
84,f8aedd0cbea0419c806842b4265b82e5,2016-08-11,F,72,72000.0,201.92,12.0,"[30, 120, 168, 390, 402, 444, 462, 474, 546, 606, 660, 708]",61.64,6.0,1.0,16.83,6.0,0.83,1.0
85,a9780228a1d04539afdee8b745e4be10,2016-04-07,M,76,63000.0,224.76,13.0,"[24, 36, 72, 168, 186, 360, 408, 462, 486, 516, 576, 594, 690]",55.5,24.0,1.0,17.29,5.0,1.0,0.8
86,94f14dcfedba47e18b7efca13dd7574b,2017-05-15,M,52,78000.0,117.92,6.0,"[54, 90, 216, 480, 618, 648]",118.8,66.0,0.8,19.65,5.0,0.6,1.0
87,8a4bc602e4424ab6b16f0b907f2f22af,2017-12-10,M,55,31000.0,30.729999999999997,5.0,"[36, 186, 360, 396, 498]",115.5,216.0,0.6,6.15,4.0,0.5,0.25
88,6d28f18e91324d358d69d1e4b01f1ace,2017-09-19,F,39,60000.0,705.5,12.0,"[24, 102, 216, 234, 336, 342, 384, 390, 528, 576, 630, 648]",56.73,66.0,0.8,58.79,4.0,1.0,0.75
89,52f0bd64403f4958ab8fe9a6947c13c3,2016-01-26,F,45,44000.0,163.71,16.0,"[168, 174, 180, 192, 198, 204, 222, 318, 336, 396, 414, 474, 582, 588, 600, 612]",29.6,102.0,0.6,10.23,6.0,0.33,0.83
90,93e67942586e43fb87d5ffb1ead8db41,2017-07-04,F,57,114000.0,184.82,8.0,"[24, 78, 222, 240, 312, 552, 594, 606]",83.14,108.0,0.6,23.1,6.0,0.83,0.83
91,e641af076cc54529bec6ab61fc25f4a6,2018-07-12,M,74,48000.0,6.86,3.0,"[336, 372, 546]",105.0,168.0,0.4,2.29,3.0,0.33,0.0
92,716a961d2afb4c1d8307522a8cbb4f07,2016-07-27,M,18,47000.0,275.61,22.0,"[12, 24, 30, 36, 42, 84, 120, 228, 264, 270, 288, 312, 378, 420, 468, 528, 546, 570, 582, 600, 648, 660]",30.86,54.0,0.8,12.53,6.0,0.67,0.83
93,13033baa9d294c3c9165a00d71b72614,2017-09-27,M,53,96000.0,138.84,5.0,"[18, 108, 228, 462, 492]",118.5,222.0,0.6,27.77,5.0,1.0,0.8
94,15953663abf54181adf1fd4c39442b85,2017-09-10,F,59,98000.0,112.03999999999999,4.0,"[120, 348, 444, 642]",174.0,72.0,0.6,28.01,3.0,0.33,1.0
95,0ac5ffb0f1624297a453494b845e1a91,2014-11-04,M,57,46000.0,34.22,10.0,"[108, 210, 312, 420, 540, 630, 636, 642, 654, 684]",64.0,30.0,1.0,3.42,4.0,0.25,0.25
96,1a353048b0884fc5a0afa27677ef1e80,2017-08-13,F,51,56000.0,40.94,7.0,"[180, 408, 426, 468, 486, 534, 690]",85.0,24.0,0.8,5.85,5.0,0.8,0.4
97,2cf5895bddf9467e878c6d51a622d5fb,2017-10-20,F,64,37000.0,51.37,7.0,"[66, 72, 204, 240, 372, 378, 624]",93.0,90.0,0.8,7.34,5.0,1.0,0.6
98,6747dda08bed46298c23e05b64820a3a,2017-01-29,M,71,57000.0,30.14,12.0,"[6, 12, 30, 42, 246, 300, 324, 384, 486, 516, 654, 666]",60.0,48.0,0.8,2.51,4.0,0.75,0.0
99,f35b342b24734da18a830bb9329a4fbd,2017-04-21,F,64,66000.0,50.349999999999994,4.0,"[198, 360, 474, 480]",94.0,234.0,0.4,12.59,4.0,1.0,0.5
100,4c29d22467af4d7faa137c4eedd65340,2018-01-27,M,83,46000.0,16.77,5.0,"[12, 30, 126, 162, 414]",100.5,300.0,0.4,3.35,5.0,1.0,0.0
101,e997a086fc13446da2aa9070d98d191a,2017-12-11,M,26,71000.0,13.799999999999999,4.0,"[240, 342, 654, 666]",142.0,48.0,0.6,3.45,5.0,0.6,0.0
102,17af917bb842480e925e49a8ca08c1f8,2018-03-21,F,29,58000.0,30.48,12.0,"[108, 126, 222, 372, 384, 426, 480, 486, 600, 606, 612, 702]",54.0,12.0,1.0,2.54,5.0,0.8,0.2
103,bf8d7498eb32431ab3fedaa14b7d3a0d,2017-09-15,M,43,70000.0,2.03,1.0,[330],384.0,384.0,0.2,2.03,4.0,0.75,0.0
104,3dae0eadb47149b0b9b548d14548524b,2018-01-14,F,89,65000.0,124.82000000000001,7.0,"[180, 282, 342, 396, 468, 546, 660]",80.0,54.0,0.6,17.83,4.0,1.0,0.75
105,5404741ead9442bdbd4b9aa2273e85af,2018-05-18,F,49,79000.0,24.93,2.0,"[72, 624]",552.0,90.0,0.4,12.46,5.0,1.0,0.4
106,81e9ad5fa55a4884b65e01a5db8f1b4e,2016-06-27,M,79,67000.0,317.03,18.0,"[12, 30, 60, 120, 174, 180, 186, 192, 246, 282, 300, 384, 390, 450, 480, 486, 582, 654]",37.76,60.0,0.8,17.61,4.0,0.75,0.75
107,b2f1cd155b864803ad8334cdf13c4bd2,2017-10-16,F,55,94000.0,195.35,8.0,"[0, 42, 102, 156, 222, 384, 468, 570]",81.43,144.0,0.8,24.42,5.0,1.0,0.6
108,37a97f6e09784a07bbb67bc6539f1a00,2017-12-03,M,55,66000.0,272.23,19.0,"[6, 24, 90, 114, 210, 246, 276, 306, 312, 330, 390, 438, 528, 564, 588, 594, 606, 636, 708]",39.0,6.0,1.0,14.33,5.0,0.6,0.4
109,77927096ab4144fa930b4cadd4773cc2,2017-10-07,M,45,31000.0,16.46,5.0,"[108, 192, 252, 432, 462]",88.5,252.0,0.6,3.29,4.0,0.75,0.0
110,acbc358a8bf44ba88d0de1f2bec5b2ab,2018-01-30,M,52,30000.0,9.799999999999999,5.0,"[12, 324, 468, 504, 564]",138.0,150.0,0.8,1.96,4.0,0.5,0.0
111,8ca29d07b300474786a6016fe76174dd,2016-04-04,M,39,55000.0,156.54,9.0,"[204, 282, 372, 462, 528, 534, 576, 624, 666]",57.75,48.0,0.6,17.39,4.0,0.75,1.0
112,88baa20c29a94178a43a7d68e5f039d4,2018-07-02,M,77,69000.0,60.25,3.0,"[132, 402, 456]",162.0,258.0,0.4,20.08,4.0,0.5,0.25
113,a2bd377c7ab74d93bbfd87f70043a9f8,2018-07-09,M,66,60000.0,30.9,6.0,"[150, 210, 270, 474, 576, 594]",88.8,120.0,0.8,5.15,5.0,0.6,0.4
114,23f9e3baf42b43148fee9bbbc3530c7a,2017-09-27,F,69,87000.0,53.21,2.0,"[510, 666]",156.0,48.0,0.2,26.6,4.0,1.0,0.5
115,8486e692a5f94d179d507eaca848ecbd,2014-08-20,M,74,53000.0,55.129999999999995,4.0,"[144, 228, 498, 582]",146.0,132.0,0.8,13.78,2.0,1.0,0.5
116,49f22e86d2db41878778d70958dc744e,2018-07-12,F,75,87000.0,114.7,5.0,"[330, 336, 354, 564, 714]",96.0,0.0,0.8,22.94,5.0,1.0,0.8
117,28de174a5c854dd1be3187dc6edae45b,2015-09-09,F,59,85000.0,193.10000000000002,7.0,"[186, 192, 354, 420, 468, 570, 630]",74.0,84.0,0.6,27.59,6.0,0.83,0.67
118,a1eb338ccbca4cc88c9366939f16d819,2013-12-30,M,47,66000.0,74.17,5.0,"[18, 138, 150, 276, 558]",135.0,156.0,0.6,14.83,3.0,1.0,0.67
119,220a39cdfd6b41268c43a2e588fcb7e0,2018-05-28,M,20,69000.0,0.87,1.0,[546],168.0,168.0,0.2,0.87,4.0,0.5,0.0
120,0c89378f14804b42b6e63e4dc26e8d3e,2017-04-26,M,60,108000.0,127.28,4.0,"[294, 330, 630, 636]",114.0,78.0,0.4,31.82,4.0,1.0,0.5
121,464d2302b99b46ad8eb3e42e1b849c24,2018-03-15,M,65,61000.0,24.0,6.0,"[150, 282, 336, 510, 582, 648]",99.6,66.0,0.8,4.0,5.0,0.4,0.6
122,3f36bc1d5fc0499b9f96f62348f0f9b0,2015-04-21,M,33,43000.0,19.78,8.0,"[246, 324, 372, 378, 408, 432, 642, 684]",62.57,30.0,0.8,2.47,4.0,0.25,0.25
123,fe97aa22dd3e48c8b143116a8403dd52,2017-12-17,F,39,67000.0,562.77,11.0,"[0, 30, 84, 90, 198, 438, 456, 624, 642, 672, 708]",70.8,6.0,1.0,51.16,5.0,1.0,0.2
124,dbca75f289544e09836322ba2e104854,2018-06-02,M,49,59000.0,38.26,6.0,"[18, 408, 480, 510, 594, 612]",118.8,102.0,0.6,6.38,3.0,0.67,0.33
125,c863af14b3654499b1caea5e640136d2,2018-02-07,M,68,58000.0,17.19,2.0,"[18, 498]",480.0,216.0,0.4,8.6,5.0,1.0,0.0
126,d7dc31e069124ef49e1bb937cb89f41c,2017-02-09,M,42,80000.0,53.74,3.0,"[78, 108, 486]",204.0,228.0,0.4,17.91,3.0,1.0,0.33
127,1827da57bb924833a6f73c79b5f2bbc5,2018-06-01,M,72,33000.0,8.14,5.0,"[18, 222, 420, 450, 600]",145.5,114.0,0.8,1.63,6.0,0.5,0.0
128,721eb06ac285463aa6e1184e0ea9b7f0,2017-05-24,F,18,49000.0,30.47,10.0,"[108, 144, 360, 402, 486, 528, 576, 588, 624, 630]",58.0,84.0,0.6,3.05,5.0,0.6,0.4
129,d594b1f288674594a02c8527e5837ade,2018-06-28,F,32,42000.0,71.19,7.0,"[54, 84, 378, 408, 432, 528, 564]",85.0,150.0,0.6,10.17,2.0,0.5,1.0
130,0f54094029ca4107bfd36203aeb3ed14,2017-08-28,M,67,50000.0,33.07,3.0,"[150, 210, 414]",132.0,300.0,0.6,11.02,5.0,1.0,0.2
131,5f18c5754dc04baaa1267c823f877a85,2018-07-04,M,52,42000.0,5.4,3.0,"[336, 396, 594]",129.0,120.0,0.4,1.8,5.0,0.4,0.0
132,d8567f1400d8486cb31c6abba64389ec,2017-10-19,M,38,64000.0,150.94,9.0,"[24, 48, 96, 114, 258, 444, 462, 480, 606]",72.75,108.0,0.8,16.77,3.0,0.67,1.0
133,30fae86966114f6e83c3043b22b6b7c4,2018-03-16,F,60,77000.0,106.91000000000001,5.0,"[162, 234, 426, 564, 648]",121.5,66.0,0.8,21.38,6.0,0.83,0.83
